,Actual
1,-0.2
2,0.0
3,0.5
4,0.3
5,-0.4
6,0.1
7,0.7000000000000001
8,1.2
9,0.8
10,1.0999999999999999
11,-0.6
12,0.4
13,0.4
15,0.5
16,0.5
17,0.6
18,0.8
19,0.7000000000000001
21,1.0999999999999999
22,0.8
23,-0.1
24,0.5
25,0.7000000000000001
26,1.0999999999999999
27,0.3
28,0.7000000000000001
29,0.0
30,0.5
31,0.6
32,0.6
33,0.3
34,0.1
35,-0.2
36,0.3
37,-0.1
38,0.0
39,0.4
40,-0.4
41,0.4
42,0.1
43,0.0
44,-0.2
45,0.0
46,0.4
47,-0.3
48,0.0
49,0.2
50,-0.2
51,0.1
52,0.4
53,0.0
54,0.0
55,0.3
56,0.6
57,0.2
58,0.5
59,-0.8
60,0.2
61,0.2
62,0.1
63,0.1
64,0.7000000000000001
65,0.0
66,0.0
67,0.4
68,0.4
69,0.1
70,0.4
71,-0.5
72,0.4
73,0.3
74,0.1
75,0.3
76,0.6
77,-0.1
78,0.0
79,0.3
80,0.5
81,0.4
82,0.7000000000000001
83,-0.5
84,0.5
85,0.2
86,0.1
87,0.2
88,0.3
89,-0.1
90,0.2
91,0.2
92,0.1
93,0.4
94,0.2
95,-0.8
96,0.1
97,0.0
98,0.1
99,-0.1
100,0.2
101,-0.2
102,0.0
103,0.2
104,0.2
105,0.2
106,0.3
107,-0.8999999999999999
108,0.0
109,-0.3
110,0.1
111,0.0
112,0.4
113,-0.3
114,0.2
115,-0.1
116,0.4
117,0.2
118,0.5
119,-0.6
120,0.4
121,0.1
122,0.1
123,0.4
124,0.4
125,0.0
126,-0.2
127,0.2
128,0.2
129,0.3
130,0.7000000000000001
131,-0.5
132,0.5
133,0.2
134,0.5
135,0.4
136,0.5
137,0.1
138,-0.4
139,-0.1
140,0.6
141,0.3
142,0.6
143,-0.5
144,0.4
145,0.2
146,0.1
147,0.6
148,0.6
149,0.0
150,-0.1
151,0.2
152,1.0
153,0.3
154,0.7000000000000001
155,0.1
156,1.0
157,0.4
158,0.3
159,0.0
160,0.5
161,-0.2
162,0.1
163,0.2
164,0.6
165,0.6
166,0.4
167,-0.2
168,0.6
169,0.3
170,0.2
171,0.0
172,0.4
173,0.0
174,0.3
175,0.6
176,0.2
177,0.2
178,0.8999999999999999
179,-0.7000000000000001
180,-0.4
181,-0.1
182,-0.2
183,0.5
184,0.6
185,0.0
186,0.7000000000000001
187,0.6
188,0.8
189,0.4
190,0.7000000000000001
191,-0.7000000000000001
192,0.6
193,0.3
194,0.5
195,0.1
196,0.4
197,-0.6
198,0.2
199,0.3
200,0.3
201,0.5
202,0.4
203,-0.8
204,0.6
205,0.3
206,0.2
207,0.1
208,0.4
209,-0.1
210,0.3
211,0.5
212,0.6
213,0.2
214,0.3
215,-0.5
216,0.3
217,0.0
218,0.2
219,0.1
220,0.3
221,0.1
222,0.1
223,0.3
224,0.4
225,0.4
226,0.3
227,-0.5
228,0.5
229,0.2
230,0.3
231,0.1
232,0.3
233,-0.3
234,0.0
235,0.4
236,0.4
237,0.2
238,0.2
239,-0.5
240,0.3
241,0.0
242,0.1
243,0.3
244,0.4
245,-0.1
246,-0.2
247,0.0
248,0.3
249,0.4
250,0.4
251,-0.6
252,0.4
253,0.0
254,0.2
255,0.3
256,0.3
257,-0.3
258,0.0
259,0.2
260,0.4
261,0.4
262,0.1
263,-0.3
264,0.3
265,-0.2
266,-0.2
267,0.3
268,0.4
269,-0.8
270,0.2
271,0.8
272,0.6
273,0.3
274,0.3
275,-0.8999999999999999
276,0.0
277,0.2
278,0.0
279,0.8
280,0.0
281,-0.5
282,0.1
283,0.3
284,0.3
285,0.2
286,0.3
287,-0.8999999999999999
288,0.3
289,0.1
290,-0.1
291,0.4
292,0.3
293,-0.6
294,-0.1
295,0.3
296,0.4
297,0.5
298,0.2
299,-0.6
300,0.3
301,0.1
302,0.0
303,0.4
304,0.4
305,-0.5
306,-0.1
307,0.5
308,0.5
309,0.3
310,0.3
311,-0.6
312,0.1
313,0.1
314,0.0
315,0.4
316,0.5
317,-0.3
318,0.2
319,0.3
320,0.4
321,0.2
322,0.2
323,-0.4
324,0.3
325,0.1
326,0.0
327,0.5
328,0.5
329,-0.6
330,0.1
331,0.3
332,0.5
333,0.4
334,0.5
335,-0.3
336,0.6
337,0.0
338,-0.2
339,0.5
340,0.6
341,-0.6
342,0.1
343,0.5
344,0.6
345,0.5
346,0.5
347,0.0
348,0.5
349,0.1
350,-0.2
351,0.1
352,0.6
353,-0.6
354,0.0
355,0.2
356,1.0
357,0.2
358,0.5
359,-0.4
360,0.2
361,-0.2
362,-0.1
363,0.5
364,0.4
365,-0.4
366,0.0
367,0.4
368,1.0999999999999999
369,0.5
370,0.6
371,-0.5
372,0.0
373,0.1
374,0.2
375,0.4
376,0.0
377,-0.5
378,0.1
379,0.4
380,1.0
381,0.5
382,0.5
383,-0.3
384,0.0
385,0.4
386,0.5
387,0.5
388,0.4
389,-0.3
390,0.5
391,0.8
393,0.3
394,0.5
395,0.0
396,-0.1
397,0.1
398,0.8
399,1.0
400,1.0999999999999999
401,-0.3
402,0.4
403,1.0
405,0.6
406,0.6
407,0.4
408,0.1
409,0.3
410,0.7000000000000001
411,0.7000000000000001
412,0.1
413,-0.1
414,0.4
415,0.5
417,0.5
418,0.3
419,0.3
420,0.2
421,0.5
422,0.5
423,0.5
424,0.3
425,0.0
426,0.3
427,0.5
429,0.3
430,0.3
